Smithyton,SEAT_OF,House Shermer of Smithyton
House Mormont of Bear Island,LED_BY,Maege Mormont
Margaery Tyrell,SPOUSE,Joffrey Baratheon
Maron Nymeros Martell,ALLIED_WITH,House Nymeros Martell of Sunspear
House Gargalen of Salt Shore,IN_REGION,Dorne
Sharp Point,SEAT_OF,House Bar Emmon of Sharp Point
Lanna Lannister,ALLIED_WITH,House Jast
House Moore,SWORN_TO,House Arryn of the Eyrie
Harlan Hunter,ALLIED_WITH,House Hunter of Longbow Hall
House Celtigar of Claw Isle,SWORN_TO,House Baratheon of King's Landing
Manfred Dondarrion,ALLIED_WITH,House Dondarrion of Blackhaven
House Crakehall of Crakehall,FOUNDED_BY,Crake
House Hayford of Hayford,IN_REGION,The Crownlands
Willam Dustin,SPOUSE,Barbrey Dustin
Jeyne Lothston,ALLIED_WITH,House Lothston of Harrenhal
House Footly of Tumbleton,SWORN_TO,House Tyrell of Highgarden
Blackhaven,SEAT_OF,House Dondarrion of Blackhaven
House Foote,SWORN_TO,House Lannister of Casterly Rock
House Lannister of Darry,SWORN_TO,House Baelish of Harrenhal
Daenora Targaryen,ALLIED_WITH,House Targaryen of King's Landing
Enger,ALLIED_WITH,House Tully of Riverrun
Denys Darklyn,ALLIED_WITH,House Darklyn of Duskendale
Weese,ALLIED_WITH,House Lannister of Casterly Rock
Rolph Spicer,ALLIED_WITH,House Westerling of the Crag
Gran Goodbrother,ALLIED_WITH,House Goodbrother of Hammerhorn
Simon Staunton,ALLIED_WITH,House Staunton of Rook's Rest
Barbrey Dustin,ALLIED_WITH,House Ryswell of the Rills
Rodrik Ryswell,ALLIED_WITH,House Ryswell of the Rills
Dragonstone (House Baratheon of Dragonstone),SEAT_OF,House Baratheon of Storm's End
House Baratheon of King's Landing,LED_BY,Tommen Baratheon
Jorah Stark,ALLIED_WITH,House Stark of Winterfell
House Umber of the Last Hearth,IN_REGION,The North
Alesander Staedmon,ALLIED_WITH,House Staedmon of Broad Arch
House Brook,IN_REGION,Dorne
Robert Ashford,ALLIED_WITH,House Ashford of Ashford
Sansa Stark,ALLIED_WITH,House Stark of Winterfell
Ysilla Royce,ALLIED_WITH,House Redfort of Redfort
Waldon Wynch,ALLIED_WITH,House Wynch of Iron Holt
Stannis Seaworth,ALLIED_WITH,House Seaworth of Cape Wrath
Otho Bracken,ALLIED_WITH,House Bracken of Stone Hedge
House Jordayne of the Tor,IN_REGION,Dorne
Wyndhall,SEAT_OF,House Estren of Wyndhall
Eleanor Mooton,SPOUSE,Dickon Tarly
House Jast,SWORN_TO,House Lannister of Casterly Rock
Willam Wythers,ALLIED_WITH,House Wythers
Myles Smallwood,ALLIED_WITH,House Smallwood of Acorn Hall
Stafford Lannister,ALLIED_WITH,House Lannister of Casterly Rock
House Arryn of the Eyrie,FOUNDED_BY,Artys I Arryn
Hosteen Frey,ALLIED_WITH,House Frey of the Crossing
Viserys I,SPOUSE,Alicent Hightower
House Cox of Saltpans,LED_BY,Quincy Cox
House Pommingham,IN_REGION,The Reach
House Errol of Haystack Hall,LED_BY,Sebastion Errol
Rodwell Stark,SPOUSE,Myriame Manderly
Richard Morrigen,ALLIED_WITH,House Morrigen of Crow's Nest
House Westford,IN_REGION,The Westerlands
House Lyberr,SWORN_TO,House Tyrell of Highgarden
House Overton,SWORN_TO,House Bolton of the Dreadfort
Wynafrei Whent,SPOUSE,Danwell Frey
House Knott,IN_REGION,The North
Ygon Farwynd,ALLIED_WITH,House Farwynd of the Lonely Light
Poddingfield,SEAT_OF,House Peasebury of Poddingfield
Mariah Martell,PARENT_OF,Maekar I
Feastfires,SEAT_OF,House Prester of Feastfires
Wex Pyke,ALLIED_WITH,House Botley of Lordsport
House Dondarrion of Blackhaven,IN_REGION,The Stormlands
Rhaena Targaryen,ALLIED_WITH,House Targaryen of King's Landing
Tobbot,ALLIED_WITH,House Clegane
House Farman of Faircastle,LED_BY,Sebaston Farman
House Chelsted,IN_REGION,The Crownlands
Hosteen Frey,SPOUSE,Bellena Hawick
House Breakstone,IN_REGION,The Vale
House Paege,SWORN_TO,House Baelish of Harrenhal
Harlan Grandison,ALLIED_WITH,House Grandison of Grandview
Wendell Webber,ALLIED_WITH,House Webber of Coldmoat
Davos Seaworth,ALLIED_WITH,House Baratheon of Dragonstone
House Selmy of Harvest Hall,IN_REGION,The Stormlands
House Blackwood of Raventree Hall,SWORN_TO,House Baelish of Harrenhal
Orys Baratheon,ALLIED_WITH,House Baratheon of Storm's End
Alys Frey,ALLIED_WITH,House Frey of the Crossing
House Hastwyck,SWORN_TO,House Tyrell of Highgarden
House Blackmyre,IN_REGION,The Neck
Delp,ALLIED_WITH,House Tully of Riverrun
Owen Norrey,ALLIED_WITH,House Norrey
Grey Worm,ALLIED_WITH,House Targaryen of King's Landing
Jon Arryn,SPOUSE,Jeyne Royce
House Hutcheson,SWORN_TO,House Tyrell of Highgarden
House Egen,SWORN_TO,House Arryn of the Eyrie
House Ruttiger,SWORN_TO,House Lannister of Casterly Rock
Rhaenys Targaryen,ALLIED_WITH,House Velaryon of Driftmark
House Chyttering,SWORN_TO,House Baratheon of King's Landing
Amory Lorch,ALLIED_WITH,House Lannister of Casterly Rock
Myles Manwoody,ALLIED_WITH,House Manwoody of Kingsgrave
Lysa Arryn,ALLIED_WITH,House Tully of Riverrun
Jon Wylde,SPOUSE,Elyana Vypren
Three Towers,SEAT_OF,House Costayne of Three Towers
Eden Risley,ALLIED_WITH,House Risley
Elaena Targaryen,ALLIED_WITH,House Penrose of Parchments
House Redwyne of the Arbor,FOUNDED_BY,Gilbert of the Vines
Brienne of Tarth,ALLIED_WITH,House Tarth of Evenfall Hall
Wynafryd Manderly,ALLIED_WITH,House Manderly of White Harbor
House Nayland of Hag's Mire,IN_REGION,The Riverlands
House Cuy of Sunhouse,IN_REGION,The Reach
Lenwood Tawney,ALLIED_WITH,House Tawney of Orkmont
Eddard Stark,SPOUSE,Catelyn Stark
Grunt,ALLIED_WITH,House Bolton of the Dreadfort
Luthor Tyrell,ALLIED_WITH,House Tyrell of Highgarden
Naerys Targaryen,ALLIED_WITH,House Targaryen of King's Landing
House Hollard,IN_REGION,The Crownlands
Richard Lonmouth,ALLIED_WITH,House Lonmouth
House Baratheon of Dragonstone,SWORN_TO,House Baratheon of King's Landing
Rhea Royce,ALLIED_WITH,House Royce of Runestone
Edgerran Oakheart,ALLIED_WITH,House Oakheart of Old Oak
Tristifer Botley,ALLIED_WITH,House Botley of Lordsport
House Longthorpe of Longsister,SWORN_TO,House Sunderland of the Three Sisters
Philip Foote,ALLIED_WITH,House Foote
Rhaella Targaryen,SPOUSE,Aerys II
Ronald Vance,HEIR_TO,House Vance of Atranta
Martyn Cassel,ALLIED_WITH,House Cassel
Jyanna Frey,SPOUSE,Benfrey Frey
Herrock Kenning,ALLIED_WITH,House Kenning of Kayce
Catelyn Stark,PARENT_OF,Robb Stark
Walder Rivers,ALLIED_WITH,House Frey of the Crossing
Mellario,SPOUSE,Doran Martell
House Qorgyle of Sandstone,IN_REGION,Dorne
Osmund Frey,ALLIED_WITH,House Frey of the Crossing
Hubard Rambton,ALLIED_WITH,House Rambton
Donnis,ALLIED_WITH,House Stark of Winterfell
House Falwell,IN_REGION,The Westerlands
Shatterstone,SEAT_OF,House Goodbrother of Shatterstone
Alyn,ALLIED_WITH,House Stark of Winterfell
Desmond Grell,ALLIED_WITH,House Grell
House Wagstaff,SWORN_TO,House Baratheon of Storm's End
Rhaena Targaryen,SPOUSE,Aegon Targaryen
House Hook,IN_REGION,The Riverlands
Romny Weaver,ALLIED_WITH,House Weaver
Osfryd Kettleblack,ALLIED_WITH,House Kettleblack
House Hawthorne,IN_REGION,The Westerlands
House Norridge,IN_REGION,The Reach
Rodrik Stark,ALLIED_WITH,House Stark of Winterfell
Oldcastle,SEAT_OF,House Locke of Oldcastle
House Manning,SWORN_TO,House Baratheon of King's Landing
House Lothston of Harrenhal,IN_REGION,The Riverlands
House Grell,SWORN_TO,House Tully of Riverrun
Hugh Beesbury,ALLIED_WITH,House Beesbury of Honeyholt
Raynald Westerling,ALLIED_WITH,House Westerling of the Crag
House Kidwell of Ivy Hall,SWORN_TO,House Tyrell of Highgarden
House Reed of Greywater Watch,LED_BY,Howland Reed
Gull Tower,SEAT_OF,House Shett of Gull Tower
Holyhall,SEAT_OF,House Graceford of Holyhall
Tyana Wylde,ALLIED_WITH,House Wylde of Rain House
Norbert Vance,ALLIED_WITH,House Vance of Atranta
Aubrey Ambrose,ALLIED_WITH,House Ambrose
Bandallon,SEAT_OF,House Blackbar of Bandallon
Saera Targaryen,ALLIED_WITH,House Targaryen of King's Landing
House Locke of Oldcastle,SWORN_TO,House Bolton of the Dreadfort
Willem Darry,ALLIED_WITH,House Darry of Darry
Ryam Florent,ALLIED_WITH,House Florent of Brightwater Keep
House Risley,IN_REGION,The Reach
Harry Strickland,ALLIED_WITH,House Strickland
Blackpool,SEAT_OF,House Slate of Blackpool
Witch Isle,SEAT_OF,House Upcliff
Aerys I,SPOUSE,Aelinor Penrose
Lythene Frey,SPOUSE,Lucias Vypren
